1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
522,558,592,0,479,400,389,827,780,612,588,138,222,782,524,699,,7
474,355,431,0,582,295,266,779,856,546,477,128,180,718,484,643,,7
344,150,306,105,538,316,227,730,758,504,462,125,144,718,392,591,,7
457,458,506,181,468,326,301,686,817,461,495,121,110,688,445,548,,7
456,426,452,15,534,252,233,645,887,411,455,113,78,627,440,506,,7
307,106,249,126,451,273,189,609,847,378,448,108,50,610,375,464,,7
411,336,371,0,521,130,174,579,842,346,388,105,25,547,349,433,,7
238,178,190,16,0,7,122,0,0,17,4,12,14,18,6,23,,1
204,272,234,0,158,481,344,87,219,1023,354,388,176,626,262,563,,1
330,635,451,824,193,311,353,137,148,270,254,253,197,416,194,360,,1
216,331,243,433,308,423,345,252,264,606,389,303,320,556,260,475,,1
156,126,108,403,396,519,352,288,351,641,504,314,385,642,317,512,,1
207,195,159,0,483,635,437,367,437,863,666,374,468,742,340,580,,1
287,482,355,259,511,632,503,361,493,842,692,388,487,755,362,556,,1
385,544,387,977,469,544,451,407,491,358,564,279,476,590,379,492,,1
325,393,283,788,521,610,436,463,556,530,619,311,537,660,407,556,,1
298,338,258,824,546,644,447,507,597,578,648,332,571,679,418,588,,1
313,357,268,732,577,679,468,518,644,530,674,356,582,650,432,612,,1
373,526,389,756,607,713,520,562,687,578,696,378,616,673,443,639,,1
424,677,489,646,623,737,548,594,723,607,707,387,632,688,452,639,,1
470,457,326,650,703,706,483,565,812,841,663,589,658,518,536,890,,1
487,411,302,802,764,800,569,710,953,947,856,608,721,849,650,962,,1
506,491,355,845,748,760,578,703,969,827,834,612,719,827,621,911,,1
555,656,471,829,758,783,611,719,991,820,844,613,732,802,601,902,,1
567,684,484,821,765,805,613,744,1010,827,846,611,742,785,585,893,,1
519,532,382,800,764,805,594,766,1023,804,842,608,749,767,567,883,,1
484,439,326,786,756,811,588,763,1023,786,835,603,750,757,552,873,,1
364,264,307,59,111,137,156,133,92,172,88,110,126,135,79,110,,2
171,50,188,0,126,163,152,149,118,230,122,128,152,123,80,124,,2
198,131,241,30,139,183,183,163,128,227,129,141,158,128,92,135,,2
271,328,374,37,141,190,219,181,132,236,136,148,169,138,97,144,,2
290,362,392,0,145,199,220,197,111,250,134,154,175,125,93,138,,2
227,185,273,4,141,197,190,210,116,283,141,165,187,153,93,156,,2
246,73,174,225,0,35,101,386,145,498,173,198,274,278,78,266,,2
541,272,297,240,0,0,128,1023,125,1023,157,208,487,227,104,949,,2
518,429,414,211,49,0,155,1023,162,982,78,213,546,306,145,794,,2
480,476,478,256,34,181,252,1023,449,916,435,214,537,264,219,939,,2
433,301,369,161,184,363,289,1018,295,822,741,210,506,297,109,881,,2
415,278,404,132,976,638,431,986,402,736,1023,199,477,282,115,826,,2
400,327,395,102,712,548,389,951,393,672,843,194,440,264,106,769,,2
395,486,490,77,714,546,402,915,404,623,832,189,410,247,108,720,,2
361,480,467,56,714,535,381,885,401,571,803,183,379,233,108,678,,2
339,329,352,60,632,514,345,858,414,519,766,176,346,220,110,633,,2
322,203,268,55,596,543,344,827,411,472,808,168,315,209,115,590,,2
320,264,299,48,604,514,344,801,417,436,749,161,287,199,117,557,,2
340,439,413,34,630,516,366,771,433,412,720,160,264,192,119,523,,2
321,475,430,18,626,523,362,743,440,380,718,155,243,182,122,489,,2

573,203,110,209,62,17,54,22,114,175,50,128,111,223,34,107,,3
326,168,118,35,40,0,78,0,39,47,0,141,70,173,1,98,,3
464,536,370,0,27,0,148,0,4,77,0,150,102,212,0,98,,3
469,569,422,0,18,338,347,0,62,192,316,164,93,1023,350,135,,3
386,257,194,1023,4,303,238,220,52,209,268,161,148,1016,314,162,,3
308,154,138,636,0,289,224,160,82,162,233,150,142,975,259,144,,3
460,509,379,476,0,286,309,183,127,183,201,149,162,935,222,181,,3
497,590,421,531,0,265,289,201,135,178,168,139,174,893,182,181,,3
353,224,144,0,158,265,187,199,194,166,145,127,196,857,140,264,,3
330,154,122,292,121,218,192,285,167,162,114,122,211,817,115,287,,3
478,477,359,0,88,197,285,300,184,157,91,122,194,783,94,271,,3
464,509,382,144,0,188,254,321,157,132,71,111,202,748,68,252,,3
350,184,157,309,106,182,165,290,174,101,54,91,182,715,40,237,,3
321,137,138,284,85,174,169,280,173,78,36,79,178,686,17,232,,3
467,470,365,301,81,169,237,302,174,61,24,65,189,657,0,268,,3
484,513,390,287,68,162,224,303,175,38,9,51,191,627,0,258,,3
339,186,162,289,53,152,144,294,172,17,0,39,185,600,0,248,,3
302,122,129,291,48,146,143,293,169,3,0,28,187,577,0,242,,3
433,434,346,275,40,139,214,302,166,0,0,21,191,551,0,238,,3
464,518,399,251,9,141,216,320,148,0,0,14,198,529,0,236,,3
166,69,181,1023,68,0,128,168,32,0,0,0,0,62,0,15,,4
116,133,262,983,185,8,142,322,92,0,14,0,97,62,0,64,,4
317,567,563,995,230,82,231,334,134,79,23,0,105,62,47,156,,4
270,425,467,922,244,153,203,341,154,109,32,0,110,62,94,155,,4
102,18,211,892,236,161,136,330,159,84,45,0,107,63,137,139,,4
206,293,399,832,256,210,228,331,177,135,59,0,112,67,172,143,,4
343,612,598,696,254,219,279,327,179,155,72,0,114,67,189,141,,4
198,254,351,735,251,223,198,329,191,116,85,0,114,69,209,136,,4
111,53,226,712,258,252,187,318,195,117,100,2,112,73,228,129,,4
267,464,493,670,244,232,267,310,191,89,115,3,111,77,250,118,,4
297,545,550,347,301,375,334,294,228,305,135,17,117,78,333,133,,4
126,82,222,612,241,247,178,298,179,183,141,24,106,82,250,132,,4
151,173,293,609,256,276,233,292,164,133,154,22,105,86,247,132,,4
340,626,577,651,262,264,301,291,186,144,171,23,108,87,263,115,,4
237,346,387,561,291,342,270,290,225,212,182,26,114,86,267,124,,4
97,30,184,526,289,350,228,287,229,212,189,32,116,85,272,127,,4
250,411,431,485,293,361,320,287,239,264,201,38,120,87,269,128,,4
324,570,528,476,302,378,339,282,246,251,207,37,119,86,266,123,,4
146,123,217,441,294,379,244,287,241,210,211,34,121,87,264,118,,4
136,130,232,433,294,381,279,281,246,220,223,37,121,89,269,119,,4
265,130,138,80,98,47,90,0,102,111,151,121,17,102,91,0,,5
124,92,139,102,105,121,154,0,115,121,190,133,55,109,87,273,,5
246,413,345,101,104,76,191,0,116,108,196,143,73,116,88,230,,5
166,229,216,99,109,95,148,0,120,122,215,150,60,121,94,220,,5
57,9,81,102,111,96,118,0,125,125,222,158,63,127,95,211,,5
170,281,263,112,108,81,180,0,127,108,229,167,67,132,99,205,,5
213,381,323,107,112,91,186,0,131,125,237,172,68,136,100,198,,5
62,49,100,110,109,78,109,0,133,117,239,177,69,140,101,190,,5
78,98,146,107,113,101,158,0,137,135,266,183,73,144,102,186,,5
218,417,350,106,111,76,196,8,138,129,257,190,91,148,102,185,,5
117,193,195,112,113,107,150,0,142,130,276,193,69,152,105,177,,5
31,14,84,105,107,87,121,7,141,132,278,199,85,155,102,165,,5
160,311,286,115,110,103,198,0,146,122,284,204,76,159,104,172,,5
178,354,305,109,110,99,183,0,148,125,286,209,73,164,104,168,,5
46,26,77,90,103,3,73,23,140,131,260,213,123,163,104,213,,5
74,126,171,115,106,96,163,12,150,122,285,217,88,167,107,165,,5
203,414,353,115,111,106,210,14,155,128,289,222,83,169,107,162,,5
92,162,175,113,105,102,146,10,154,123,294,224,82,171,107,155,,5
23,15,86,112,105,99,128,12,155,120,292,228,84,173,104,155,,5
151,313,286,116,103,94,196,9,157,115,291,233,84,177,104,153,,5
332,412,335,64,50,68,172,40,65,66,91,91,53,80,60,58,,6
16,31,77,64,38,15,79,16,50,50,67,94,69,85,26,75,,6
95,77,110,23,0,0,79,177,0,120,0,102,178,89,64,172,,6
223,392,345,3,64,156,233,93,70,91,133,108,108,94,97,299,,6
181,315,271,5,68,118,182,109,67,111,183,112,149,78,87,241,,6
45,2,71,11,65,84,115,125,62,112,184,109,146,66,85,187,,6
119,203,219,33,76,200,227,88,90,95,241,111,126,66,99,174,,6
185,405,352,88,68,275,287,48,90,76,225,111,89,66,78,39,,6
197,202,169,106,0,0,85,293,0,0,212,112,229,64,0,356,,6
102,47,131,110,384,252,277,221,565,20,659,115,175,66,46,291,,6
299,385,360,107,548,343,386,462,767,19,643,117,204,66,0,256,,6
180,475,388,125,338,313,266,74,634,0,0,126,31,38,63,0,,6
233,257,340,75,779,924,638,1023,744,398,921,169,350,67,131,0,,6
522,478,522,39,1023,1023,851,1023,1023,1023,1023,697,652,168,1023,1023,,6
0,331,232,0,498,223,275,0,692,727,1023,610,430,145,944,74,,6
53,169,160,129,1023,1023,656,31,1023,827,988,584,348,106,845,137,,6
286,349,314,1023,0,636,551,554,875,706,946,563,491,77,741,548,,6
380,627,465,870,81,632,552,587,906,607,901,532,478,52,647,563,,6
239,327,321,1023,63,1006,611,573,556,532,850,507,461,31,562,536,,6
255,315,286,962,66,1007,621,569,484,467,804,494,454,14,495,506,,6
382,385,313,147,29,79,150,141,61,0,0,0,109,0,0,39,,7
142,165,268,27,1023,624,354,0,123,0,0,0,89,0,0,13,,7
181,305,300,288,577,393,339,153,200,0,84,0,89,20,541,138,,7
234,495,386,432,527,195,241,9,155,0,66,0,40,27,294,0,,7
391,336,379,247,252,457,402,1023,159,0,64,0,157,37,573,539,,7
